TIME 24 HOURS,COUNTY,PLACE,Date DD/MM/YYYY,NORMALIZED_ROAD,TEXT_CLEAN,FINAL_VEHICLE,ACCIDENT_TYPE_PRED,TIMEOFDAY,ROAD CODE
20:40,NAKURU,NAIVAS,2016-06-11,NAKURU NAIROBI,HIT & RAN,CAR,HIT AND RUN,EVENING,A104
12:40,KIAMBU,GATUANYAGA,2016-06-11,THIKA GATHIMA,THE TRUN BOY WAS RAN OVER BY THE TRUCK WHEN HE TRIED TO ALIGHT FROM IT WHILE MOVING,TRUCK,UNKNOWN,AFTERNOON,OTHER
23:30,NAROK,BOMET,2016-06-11,NAROK BOMET,HIT & RAN,CAR,HIT AND RUN,NIGHT,OTHER
07:30,NYERI,KANJAMA AREA,2016-06-10,KIRIAI KANGEMA,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,MORNING,OTHER
12:15,NAIROBI,NEAR UCHUMI,2016-06-10,JOGOO,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,AFTERNOON,OTHER
09:30,NAKURU,NEAR NDUNDURI CENTRE,2016-06-10,NDUNDURI LANET,THE BICYCLE LOST CONTROL AND THE PERSON JUMPED AND WAS OVER RAN BY THE CAR,CAR,DRIVER FAULT,MORNING,OTHER
12:00,EMBU,GATUNDURI,2016-06-10,MERU EMBU,HEAD ON COLLISION,BUS,HEAD ON,AFTERNOON,OTHER
17:30,NAIROBI,NEAR NGARA FOOT BRIDGE,2016-06-10,THIKA SUPERHIGHWAY,THE CAR GOT A TYRE BURST LOST CONTROL AND HIT THE PAVEMENT,CAR,MECHANICAL FAULT,EVENING,A2
23:30,KWALE,KING BRIDGE,2016-06-10,UKUNDA LIKONI,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,NIGHT,OTHER
21:00,NAKURU,SETLITE AREA,2016-06-10,NAROK MAIMAHIU,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,NIGHT,OTHER
02:30,MURANGA,SUICITI AREA,2016-06-10,SAGANA MAKUTANO,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,NIGHT,OTHER
03:00,MOMBASA,NEAR KENOL,2016-06-10,ROAD LINKS,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,NIGHT,OTHER
09:30,KIAMBU,KARIA,2016-06-09,KIMUNYE KUTUS,THE CAR LOST CONTROL AND SWERVED HITTING A TREE,CAR,MECHANICAL FAULT,MORNING,OTHER
09:50,BUSIA,BUSIA TOWNSHIP,2016-06-09,BUSIA KISUMU,THE BICYCLE LOST CONTROL AND FELL ON THE TARMAC AND WAS OVER RAN BY THE CAR,CAR,DRIVER FAULT,MORNING,A104
